user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform,stress_level_num,cluster,segmento
54,39,3.54,5.7,5.09,4.82,5.03,45.64,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
55,17,1.13,8.07,7.9,1.46,7.1,63.82,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
56,19,1.19,6.53,4.24,2.15,2.0,72.8,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
57,33,3.41,9.78,5.43,1.87,5.19,82.59,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
58,21,1.98,6.25,7.12,1.42,2.34,77.97,High,TikTok,3,3,Alto consumo / Bajo rendimiento
59,35,0.62,3.54,7.82,5.33,8.63,93.17,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
60,23,4.48,11.76,4.05,4.0,9.49,99.54,High,TikTok,3,3,Alto consumo / Bajo rendimiento
61,21,0.68,4.42,5.63,9.42,2.27,96.25,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
62,32,3.77,9.18,5.07,1.92,7.01,85.85,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
63,18,3.47,3.43,8.99,9.33,6.73,81.16,High,TikTok,3,0,Alto consumo / Alto rendimiento
64,39,5.83,5.29,7.35,1.78,7.84,42.13,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
65,42,3.16,6.42,6.03,6.57,7.26,72.01,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
66,28,0.85,3.92,4.38,3.23,2.95,79.82,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
67,32,3.53,6.5,6.99,8.44,3.62,64.78,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
68,40,5.13,3.57,7.21,1.55,2.49,63.09,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
69,23,5.98,7.59,8.08,9.57,9.29,72.55,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
70,40,2.87,8.64,5.44,1.43,5.7,94.4,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
71,35,2.26,2.62,8.91,3.17,9.79,55.66,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
72,16,5.49,10.71,6.2,5.18,5.04,63.94,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
73,34,1.55,3.85,5.48,7.8,5.97,79.19,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
74,42,3.88,4.25,5.74,9.56,8.1,51.16,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
75,29,2.73,8.61,6.6,4.85,8.18,90.09,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
76,42,0.73,6.69,8.68,7.82,3.08,79.96,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
77,21,2.41,6.99,7.68,7.54,3.59,61.14,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
78,26,1.96,3.28,6.89,6.14,1.88,83.33,Medium,TikTok,2,2,Bajo consumo / Alto rendimiento
79,43,4.27,10.06,4.81,7.22,8.25,56.76,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
80,22,5.72,8.17,4.75,1.34,8.14,86.47,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
81,29,1.97,3.35,6.51,4.97,1.73,44.24,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
82,17,4.96,5.74,7.64,8.07,3.32,65.61,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
83,28,0.8,10.1,7.76,5.27,5.05,55.7,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
84,31,3.46,7.68,5.13,8.86,5.88,89.0,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
85,18,0.89,3.09,4.5,8.5,5.7,85.16,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
86,32,5.64,5.73,5.92,8.77,9.85,90.51,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
87,22,4.71,4.43,8.59,2.17,7.88,79.09,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
88,18,4.12,7.17,6.73,3.2,2.02,87.72,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
89,16,5.03,10.43,5.6,1.27,3.64,66.33,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
90,44,4.06,6.36,5.62,9.85,4.11,80.68,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
91,20,5.83,6.33,4.66,3.13,3.84,41.87,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
92,36,4.43,11.05,6.37,4.3,8.07,92.84,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
93,24,5.59,7.76,7.96,3.47,4.25,81.09,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
94,18,3.34,7.66,8.84,1.36,5.43,91.97,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
95,36,1.14,4.62,6.51,3.35,5.8,86.25,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
96,43,3.4,8.08,4.84,1.88,3.43,57.18,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
97,32,1.2,7.76,7.41,4.55,3.9,56.37,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
98,40,3.76,5.97,7.78,9.7,8.02,87.98,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
99,26,3.15,11.91,4.36,7.28,8.8,51.08,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
100,16,3.92,10.82,8.25,7.36,1.33,46.64,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
101,24,0.56,9.5,8.15,5.08,6.45,40.9,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
102,44,1.57,7.37,6.36,8.3,6.7,57.91,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
103,18,3.2,6.62,6.8,9.17,7.64,45.96,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
104,28,5.73,3.85,7.57,9.65,7.24,88.1,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
105,30,2.61,5.06,7.38,1.89,8.9,69.07,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
106,29,2.83,9.74,4.08,8.92,1.71,55.15,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
107,22,4.43,6.54,4.61,3.03,4.5,76.13,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
108,28,3.82,10.82,4.81,4.58,8.04,44.22,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
109,37,2.14,3.48,7.78,4.11,8.62,83.57,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
110,42,2.76,7.08,6.2,7.08,3.38,70.08,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
111,39,1.7,8.47,6.73,6.38,6.27,40.39,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
112,44,5.81,7.17,7.86,1.98,2.63,59.15,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
113,22,1.22,10.89,5.7,8.05,8.66,85.01,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
114,35,2.55,11.9,7.74,4.96,7.57,51.29,High,TikTok,3,0,Alto consumo / Alto rendimiento
115,30,0.64,3.16,6.21,1.02,3.0,97.71,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
116,27,1.72,3.3,5.89,4.73,6.61,93.8,Medium,TikTok,2,2,Bajo consumo / Alto rendimiento
117,32,4.79,3.3,5.67,5.65,5.58,86.69,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
118,29,1.61,8.81,8.82,1.62,3.33,44.71,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
119,35,0.94,5.73,7.86,2.36,9.04,61.23,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
120,38,3.11,9.33,4.1,9.94,2.33,57.89,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
121,40,0.55,6.05,8.79,8.84,5.21,48.26,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
122,39,0.97,8.28,7.88,2.2,6.25,99.98,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
123,42,4.94,9.7,4.75,6.22,8.41,48.83,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
124,42,4.74,7.48,4.38,4.41,2.35,58.92,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
125,42,5.53,7.4,5.54,5.89,6.48,92.81,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
126,27,5.2,2.88,7.12,5.23,1.06,48.66,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
127,23,4.26,6.11,7.08,1.43,8.4,68.17,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
128,43,0.79,7.46,5.38,3.84,3.11,98.54,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
129,29,4.81,6.62,6.23,2.13,7.49,54.84,High,TikTok,3,3,Alto consumo / Bajo rendimiento
130,27,5.15,11.01,5.06,5.4,6.42,82.18,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
131,15,4.89,11.07,4.25,9.17,1.45,44.8,High,TikTok,3,0,Alto consumo / Alto rendimiento
132,39,3.3,10.22,6.58,9.96,2.65,76.05,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
133,21,1.78,5.75,5.73,9.5,3.41,60.34,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
134,23,5.15,9.17,6.71,9.87,8.98,81.97,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
135,38,4.5,5.95,8.73,1.14,5.33,65.97,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
136,15,5.89,4.33,4.72,7.57,9.22,57.94,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
137,26,1.36,5.43,4.01,3.46,1.43,72.76,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
138,22,1.74,2.71,4.38,8.79,1.06,48.38,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
139,38,1.66,5.32,6.31,8.32,9.53,88.87,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
140,25,4.86,6.61,7.53,4.81,7.52,85.04,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
141,33,1.53,11.55,6.9,5.26,8.05,72.7,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
142,31,0.87,5.13,6.47,3.39,9.24,62.02,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
143,22,5.99,11.02,5.77,3.6,9.86,94.91,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
144,17,0.64,4.29,5.55,9.83,1.88,78.07,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
145,17,5.09,3.91,5.88,9.0,2.42,57.09,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
146,15,2.51,7.19,7.06,2.73,2.7,88.4,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
147,41,5.13,8.73,4.84,3.48,8.37,78.1,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
148,19,3.55,2.44,7.86,1.98,4.2,47.62,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
149,24,5.46,4.21,6.88,9.9,6.34,46.85,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
150,21,5.59,6.56,5.35,9.16,8.7,96.29,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
151,40,0.55,5.31,6.51,5.97,7.15,57.27,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
152,23,0.91,9.13,8.81,7.24,1.59,79.81,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
153,42,1.88,7.11,4.1,7.73,5.01,42.19,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
154,21,4.18,3.6,5.0,2.83,1.61,73.39,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
155,23,5.39,10.94,6.24,9.41,5.31,53.87,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
156,22,3.03,4.93,7.19,5.74,2.97,48.38,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
157,26,3.84,9.31,5.06,1.83,1.01,86.41,High,TikTok,3,3,Alto consumo / Bajo rendimiento
158,16,1.54,9.8,8.66,4.57,8.32,88.57,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
159,15,4.93,11.63,7.21,6.41,9.72,82.91,High,TikTok,3,0,Alto consumo / Alto rendimiento
160,30,5.82,6.99,8.39,4.18,9.68,40.67,High,TikTok,3,3,Alto consumo / Bajo rendimiento
161,37,1.98,8.16,5.65,7.29,3.69,57.09,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
162,37,3.22,5.35,8.14,8.94,8.46,61.66,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
163,44,0.97,8.78,5.89,7.95,7.11,81.45,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
164,38,3.58,6.63,5.26,6.78,8.2,85.33,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
165,19,3.27,6.38,8.56,5.61,8.62,77.67,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
166,17,1.29,10.55,4.46,3.29,9.82,87.35,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
167,26,2.93,2.5,8.71,5.09,2.37,65.64,High,TikTok,3,3,Alto consumo / Bajo rendimiento
168,22,2.34,10.82,6.29,3.64,7.93,72.51,Medium,TikTok,2,1,Alto consumo / Bajo rendimiento
169,36,3.37,10.52,8.96,9.41,7.61,43.86,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
170,41,3.72,7.06,6.7,9.17,3.59,65.63,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
171,17,0.55,6.9,7.79,2.4,4.53,65.96,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
172,15,4.69,5.62,4.04,8.4,2.59,76.69,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
173,17,4.42,11.94,6.48,7.33,9.22,62.67,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
174,19,2.51,3.11,7.69,9.78,8.91,54.31,High,TikTok,3,0,Alto consumo / Alto rendimiento
175,29,0.79,7.9,7.91,5.17,6.53,54.26,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
176,28,4.65,8.82,4.79,7.5,5.6,48.03,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
177,17,5.75,11.34,6.09,5.66,3.1,82.06,High,TikTok,3,0,Alto consumo / Alto rendimiento
178,15,1.82,9.8,6.1,1.62,8.11,77.35,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
179,19,2.28,8.44,4.52,1.42,1.07,74.75,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
180,40,1.51,3.17,6.22,2.1,5.17,71.86,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
181,37,3.67,5.74,8.04,3.67,8.74,62.05,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
182,28,1.35,3.39,5.5,3.33,6.57,86.12,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
183,21,2.46,10.81,6.16,7.55,6.72,95.32,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
184,41,4.33,9.5,8.8,7.44,1.64,66.4,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
185,23,3.58,9.58,4.16,9.74,3.58,64.55,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
186,29,2.63,8.52,6.96,3.79,7.06,49.76,High,TikTok,3,3,Alto consumo / Bajo rendimiento
187,29,2.81,7.07,7.72,9.45,1.45,80.24,High,TikTok,3,0,Alto consumo / Alto rendimiento
188,40,3.59,3.5,7.8,6.52,3.98,73.49,High,TikTok,3,0,Alto consumo / Alto rendimiento
189,24,0.53,5.3,7.58,5.46,4.19,99.28,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
190,42,0.93,3.37,7.63,7.01,5.49,75.06,Medium,YouTube Shorts,2,2,Bajo consumo / Alto rendimiento
191,27,5.35,9.25,4.3,7.32,4.26,57.32,Low,Instagram Reels,1,1,Alto consumo / Bajo rendimiento
192,33,0.93,3.6,6.67,2.55,5.09,73.78,Medium,YouTube Shorts,2,3,Alto consumo / Bajo rendimiento
193,21,4.39,9.02,7.91,7.77,5.92,99.08,Medium,TikTok,2,0,Alto consumo / Alto rendimiento
194,31,5.56,8.92,4.47,7.53,2.16,83.4,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
195,34,1.99,6.59,4.06,9.98,2.62,47.71,High,TikTok,3,0,Alto consumo / Alto rendimiento
196,43,2.54,3.35,8.07,9.21,8.49,60.59,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
197,18,3.63,5.15,7.56,7.16,5.14,57.92,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
198,44,5.35,5.2,6.06,7.41,4.2,91.41,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
199,19,5.68,9.0,8.7,9.51,4.9,76.67,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
200,37,4.57,3.14,7.83,9.7,2.57,88.61,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
201,21,0.98,10.29,8.84,8.44,3.16,50.57,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
202,27,4.18,9.61,8.65,7.91,5.64,94.48,High,TikTok,3,0,Alto consumo / Alto rendimiento
203,29,2.76,3.86,6.41,2.0,4.23,43.5,Medium,TikTok,2,3,Alto consumo / Bajo rendimiento
204,25,3.09,9.19,7.77,8.47,5.28,62.49,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
205,43,0.77,8.69,7.35,3.28,2.35,40.85,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
206,18,1.55,9.48,8.06,6.07,2.41,51.06,High,TikTok,3,0,Alto consumo / Alto rendimiento
207,27,4.85,3.89,7.94,4.65,4.46,97.73,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
208,21,3.0,3.58,4.77,4.11,4.41,44.71,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
209,41,2.16,4.36,5.17,3.79,8.95,48.72,Low,TikTok,1,2,Bajo consumo / Alto rendimiento
210,33,2.61,5.66,5.33,8.7,1.3,95.49,High,YouTube Shorts,3,0,Alto consumo / Alto rendimiento
211,36,5.2,9.94,8.09,7.92,9.94,82.61,Low,TikTok,1,1,Alto consumo / Bajo rendimiento
212,42,4.62,9.38,8.05,5.71,9.61,64.42,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
213,16,2.0,11.25,6.48,6.98,5.88,44.13,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
214,24,1.15,2.59,6.9,9.86,7.47,87.1,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
215,27,1.89,2.12,8.13,4.58,9.42,69.56,High,YouTube Shorts,3,3,Alto consumo / Bajo rendimiento
216,44,5.56,8.99,5.56,5.96,3.26,59.38,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
217,39,3.7,4.79,4.25,5.8,3.84,61.65,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
218,35,3.43,5.34,6.41,9.42,2.0,70.32,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
219,20,3.78,7.47,8.57,4.16,6.07,73.07,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
220,42,2.51,3.02,7.95,9.88,2.44,89.09,Low,Instagram Reels,1,2,Bajo consumo / Alto rendimiento
221,42,4.94,8.43,5.83,3.74,9.38,86.3,Low,YouTube Shorts,1,1,Alto consumo / Bajo rendimiento
222,26,3.38,5.25,4.32,1.98,4.88,86.02,High,Instagram Reels,3,3,Alto consumo / Bajo rendimiento
223,26,1.14,8.33,7.18,2.72,9.28,83.76,Medium,Instagram Reels,2,3,Alto consumo / Bajo rendimiento
224,34,1.21,10.34,8.17,4.84,2.85,85.47,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
225,44,3.45,3.71,7.32,6.85,7.25,80.66,Low,YouTube Shorts,1,2,Bajo consumo / Alto rendimiento
226,44,5.65,11.31,6.13,5.65,6.83,92.08,High,TikTok,3,0,Alto consumo / Alto rendimiento
227,25,2.2,7.31,4.62,4.39,4.6,73.45,Medium,Instagram Reels,2,1,Alto consumo / Bajo rendimiento
228,40,5.28,11.23,8.55,6.06,9.09,71.25,Medium,YouTube Shorts,2,1,Alto consumo / Bajo rendimiento
229,37,4.7,4.08,5.38,8.55,4.91,82.08,Medium,Instagram Reels,2,2,Bajo consumo / Alto rendimiento
230,42,1.86,8.05,5.12,8.55,2.79,49.96,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
231,39,0.7,6.04,8.08,7.54,9.79,86.62,High,Instagram Reels,3,0,Alto consumo / Alto rendimiento
232,21,1.06,9.74,8.91,9.57,4.97,96.17,Medium,Instagram Reels,2,0,Alto consumo / Alto rendimiento
233,44,4.51,8.06,7.3,6.31,2.87,57.78,Medium,YouTube Shorts,2,0,Alto consumo / Alto rendimiento
